"","edgeUID","km"
"1",153860277,0.00787316226947
"2",153860269,0.00950747604632
"3",153860271,0.0112868547524
"4",153860272,0.00340246035882
"5",153860274,0.000117514745039
"6",153860258,0.00645993113184
"7",153860343,0.00741389154387
"8",153860276,0.00349823552285
"9",153860275,0.000261891131638
"10",153860341,0.00757395530295
"11",153860270,0.00018505235516
"12",153860264,0.00212643994621
"13",153860273,0.00147663763698
"14",153860259,0.000566458467462
"15",153860252,0.00456387323337
"16",153860256,0.00129032089307
"17",153860250,0.000984559620197
"18",153860253,0.000199636916828
"19",153860251,0.00183424335387
"20",153860257,0.00449243196987
"21",153860255,0.00726723165418
"22",153860249,0.00153786149341
"23",153860254,0.0054423060597
"24",153860260,0.00116136377588
"25",153859534,0.00515123060505
"26",153859525,0.00269972421969
"27",153859529,0.00142934525548
"28",153859530,0.00375592626527
"29",153859100,0.00171695903717
"30",153859099,0.00162524926474
"31",153859087,0.000109302582113
"32",153859088,0.00139639702618
"33",153859086,0.000968339655481
"34",153859098,0.0038164309762
"35",153859085,0.0068514186369
"36",153859520,8.92993982933e-05
"37",153859524,0.00399778095979
"38",153859519,0.000169230805123
"39",153859514,0.00764378023611
"40",153859500,0.0109628939335
"41",153859521,0.000179496670626
"42",153859517,0.00131143365936
"43",153859523,0.00542263514788
"44",153859518,0.00646169714388
"45",153859473,0.00128423009857
"46",153859471,7.82768355297e-05
"47",153859486,0.00076126230782
"48",153859483,0.00433241252467
"49",153859430,0.0051020347416
"50",153859484,0.00173106037132
"51",153859485,0.000853872938698
"52",153859083,0.000218923775516
"53",153859074,0.00136905761714
"54",153859364,0.00700542226085
"55",153859397,0.00207111970906
"56",153859370,0.00552487495074
"57",153859366,0.00526803913873
"58",153859403,0.00428550764801
"59",153859365,0.00876533446161
"60",153859367,0.00541901417078
"61",153859399,0.00509351944529
"62",153859396,0.00965084798285
"63",153859398,0.00603679417884
"64",153859402,0.00762418240285
"65",153859470,0.000448997556382
"66",153859423,0.000222402648862
"67",153859424,0.00169314817142
"68",153859405,0.00333719125461
"69",153859408,0.00261508600659
"70",153859432,0.00194615312713
"71",153859420,0.000458313032759
"72",153859404,0.00279913324095
"73",153859406,0.000519932324609
"74",153859407,0.0033614742207
"75",153859401,0.00431430120649
"76",153859409,0.000881790974611
"77",153859421,0.000542623777081
"78",153859418,0.000532305348748
"79",153859352,0.00717427749301
"80",153859353,0.00971900307734
"81",153859362,0.00518392848052
"82",153859166,0.0021137616498
"83",153858943,0.00560912748745
"84",153858941,0.0020062992125
"85",153859042,0.00451636525009
"86",153858953,4.00540052965e-05
"87",153859164,0.00581003143945
"88",153858944,0.00522979977724
"89",153858955,0.00186218515597
"90",153859165,0.00325561463792
