"","edgeuid","median_average_speed"
"291",153311274,5.23
"292",153311275,17.01
"293",153311276,7.2
"294",153311292,7.24
"295",153311293,5.15
"296",153311300,9.585
"297",153311301,5.8
"298",153311329,7.41
"299",153311330,7.875
"300",153311331,4.99
"301",153311332,1.89
"302",153311352,7.84
"303",153311353,7.4
"304",153311354,12.19
"305",153311358,6.6
"306",153311371,4.325
"307",153311372,3.245
"308",153311373,6.68
"309",153311374,7.25
"310",153311378,7.515
"311",153311379,5.54
"312",153311381,3.235
"313",153311382,7.22
"314",153311383,2.67
"315",153311387,10.935
"316",153311389,10.105
"317",153311391,4.54
"318",153311399,11.165
"319",153311402,9.585
"320",153311421,7.79
"321",153311422,8.99
"322",153311424,7.53
"323",153311432,0.79
"324",153311433,2.01
"325",153311437,0.91
"326",153311461,5.465
"327",153311462,8.755
"328",153311465,6.285
"329",153311466,3.4
"330",153311467,5.85
"331",153311469,2.475
"332",153311470,8.88
"333",153311471,0.25
"334",153311474,1.82
"335",153311476,1.48
"336",153311481,5.25
"337",153311482,4.45
"338",153311483,4.63
"339",153311484,3.47
"340",153311485,6.44
"341",153311486,2.72
"342",153311487,9.195
"343",153311489,5.82
"344",153311490,6.09
"345",153311493,7.785
"346",153311494,6.06
"347",153311498,5.81
"348",153311499,9.08
"349",153311500,9.29
"350",153311502,9.48
"351",153311504,9.02
"352",153311506,9.06
"353",153311511,8.865
"354",153311519,0.65
"355",153311521,3.23
"356",153311523,1.86
"357",153311524,1.08
"358",153311527,6.82
"359",153311545,5.7
"360",153311546,9.165
"361",153311549,9.335
"362",153311554,8.53
"363",153311560,7.805
"364",153311564,8.035
"365",153311566,8.185
"366",153311580,8.43
"367",153311582,8.69
"368",153311584,8.72
"369",153311588,7.86
"370",153311590,7.47
"371",153311602,3.76
"372",153311604,2.55
"373",153311605,2.39
"374",153311607,6.585
"375",153311611,2.33
"376",153311618,2.1
"377",153311620,3.02
"378",153311626,3.15
"379",153311628,2.62
"380",153311633,3.15
"381",153311636,3.07
"382",153311638,2.655
"383",153311639,2.61
"384",153311640,3.755
"385",153311646,2.43
"386",153311650,2.55
"387",153311671,6.88
"388",153311672,8.295
"389",153311677,7.26
"390",153311681,1.4
"391",153311692,1.69
"392",153311693,2.87
"393",153311694,1.94
"394",153311700,1.47
"395",153311705,1.24
"396",153311706,2.94
"397",153311709,0.08
"398",153311712,4.52
"399",153311713,0.26
"400",153311714,2.14
"401",153311715,1.53
"402",153311717,1.48
"403",153311719,1.66
"404",153311720,1.65
"405",153311722,4.67
"406",153311723,5.06
"407",153311724,4.93
"408",153311725,4.5
"409",153311726,4.4
"410",153311728,4.735
"411",153311729,5.95
"412",153311731,6.895
"413",153311732,7.65
"414",153311733,6.665
"415",153311734,5.42
"416",153311736,4.88
"417",153311737,3.96
"418",153311738,6.67
"419",153311739,5.215
"420",153311741,7.03
"421",153311742,7.74
"422",153311743,6.8
"423",153311745,6.685
"424",153311746,3.03
"425",153311747,7.295
"426",153311750,4.23
"427",153311751,4.07
"428",153311752,6.93
"429",153311753,4.065
"430",153311754,4.565
"431",153311759,6.15
"432",153311762,6.59
"433",153311765,6.46
"434",153311767,4.92
"435",153311769,8.2
"436",153311786,2.52
"437",153311803,2.5
"438",153311807,2.35
"439",153311808,3.63
"440",153311812,6.67
"441",153311814,6.99
"442",153311816,7.01
"443",153311817,6.71
"444",153311819,7.465
"445",153311825,1.95
"446",153311826,6.88
"447",153311827,3.58
"448",153311828,0.03
"449",153311830,4.79
"450",153311831,1.13
"451",153311834,4.59
"452",153311836,5.41
"453",153311837,7.975
"454",153311839,3.865
"455",153311841,5.075
"456",153311843,4.515
"457",153311844,5.79
"458",153311845,6.52
"459",153311861,7.22
"460",153311862,4.95
"461",153311864,9.71
"462",153311866,10.29
"463",153311867,10.39
"464",153311871,5.64
"465",153311872,8.15
"466",153311873,11.04
"467",153311874,9.5
"468",153311875,10.645
"469",153311876,6.39
"470",153311878,7.5
"471",153311879,9.12
"472",153311880,10.545
"473",153311881,4.52
"474",153311882,6.04
"475",153311884,10.23
"476",153311885,4.95
"477",153311887,4.07
"478",153311890,7.055
"479",153311894,3.7
"480",153311895,6.17
"481",153311896,9.37
"482",153311897,8.82
"483",153311898,8.94
"484",153311904,7.28
"485",153311905,9.5
"486",153311906,0.82
"487",153311907,9.37
"488",153311908,8.94
"489",153311910,3.145
"490",153311911,5.34
"491",153311912,3.44
"492",153311913,2.66
"493",153311919,8.69
"494",153311920,4.38
"495",153311926,6.21
"496",153311928,5.02
"497",153311929,5.03
"498",153311934,8.615
"499",153311935,8.07
"500",153311942,5.9
"501",153311943,6.2
"502",153311945,5.94
"503",153311951,6.715
"504",153311961,3.44
"505",153311962,3.215
"506",153311970,3.055
"507",153311975,2.705
"508",153311976,3.95
"509",153311977,2.79
"510",153311980,3.19
"511",153311982,2.92
"512",153311983,2.235
"513",153311985,4.4
"514",153311986,7.1
"515",153311988,1.44
"516",153311989,5.415
"517",153311990,2.365
"518",153311991,2.69
"519",153312003,7.22
"520",153312007,7.31
"521",153312010,0.78
"522",153312041,3.43
"523",153312042,3.73
"524",153312044,1.7
"525",153312046,3.785
"526",153312067,3.185
"527",153312071,4.135
"528",153312073,6.475
"529",153312075,3.81
"530",153312083,8.185
"531",153312087,7.32
"532",153312088,5.04
"533",153312090,3.77
"534",153312101,4.43
"535",153312102,1.8
"536",153312105,3.47
"537",153312106,4.995
"538",153312107,3.83
"539",153312108,2.31
"540",153312110,8.015
"541",153312112,3.23
"542",153312113,3.22
"543",153312114,1.69
"544",153312117,8.7
"545",153312119,2.44
"546",153312120,3.95
"547",153312123,0
"548",153312126,2.38
"549",153312127,5.02
"550",153312128,2.34
"551",153312134,8.4
"552",153312135,8.83
"553",153312137,7.07
"554",153312143,8.775
"555",153312144,8.945
"556",153312151,7.12
"557",153312152,5.58
"558",153312153,3.52
"559",153312154,2.04
"560",153312155,9.05
"561",153312157,4.145
"562",153312160,0.17
"563",153312163,8.99
"564",153312165,9.6
"565",153312166,9.13
"566",153312179,9.975
"567",153312180,9.76
"568",153312202,5.67
"569",153312203,0.96
"570",153312205,13.79
"571",153312207,13.5
"572",153312208,12.86
"573",153312210,9.27
"574",153312211,9.12
"575",153312222,1.72
"576",153312224,12.64
"577",153312226,12.87
"578",153312228,12.7
"579",153312231,4.31
"580",153312232,1.89
"581",153312234,6.55
"582",153312237,4.555
"583",153312238,4.19
"584",153312241,1.01
"585",153312243,4
"586",153312264,4.955
"587",153312265,5.76
"588",153312266,4.425
"589",153312267,7.02
"590",153312268,7.77
"591",153312269,2.95
"592",153312270,7.53
"593",153312271,7.64
"594",153312276,6.11
"595",153312278,4.99
"596",153312281,6.54
"597",153312284,6.585
"598",153312290,6.99
"599",153312292,4.51
"600",153312293,6.44
"601",153312298,4.18
"602",153312307,7.65
"603",153312308,7.95
"604",153312309,6.41
"605",153312310,7.145
"606",153312313,7.045
"607",153312315,5.33
"608",153312316,6.475
"609",153312326,9.74
"610",153312327,5.5
"611",153312334,9.715
"612",153312340,10.53
"613",153312341,9.94
"614",153312348,8.95
"615",153312353,10.11
"616",153312356,9.41
"617",153312357,0.775
"618",153312359,3.88
"619",153312381,8.085
"620",153312382,8.46
"621",153312387,8.34
"622",153312389,7.53
"623",153312391,8.195
"624",153312399,8.725
"625",153312401,9.985
"626",153312409,10.015
"627",153312427,0.4
"628",153312431,8.77
"629",153312434,5.38
"630",153312440,9.92
"631",153312444,5.89
"632",153312445,7.61
"633",153312447,6.595
"634",153312448,8.35
"635",153312451,4.49
"636",153312452,4.955
"637",153312457,9.67
"638",153312458,9.09
"639",153312461,6.04
"640",153312463,6.3
"641",153312464,1.6
"642",153312465,0.89
"643",153312468,1.58
"644",153312470,2.44
"645",153312471,1.13
"646",153312472,1.55
"647",153312473,1.63
"648",153312474,2.1
"649",153312475,4.42
"650",153312478,1.27
"651",153312479,3.18
"652",153312480,1.22
"653",153312481,1.725
"654",153312484,1.75
"655",153312487,1.23
"656",153312488,2.28
"657",153312489,0.35
"658",153312491,3.2075
"659",153312492,9.53
"660",153312493,5.6
"661",153312495,7.34
"662",153312496,7.74
"663",153312503,3.09
"664",153312515,3.68
"665",153312516,3.56
"666",153312517,7.82
"667",153312518,4.63
"668",153312519,4.53
"669",153312520,3.95
"670",153312524,3.57
"671",153312526,1.99
"672",153312527,4.59
"673",153312528,2.63
"674",153312529,2.88
"675",153312533,1.67
"676",153312534,3.4
"677",153312535,8.7
"678",153312537,5.055
"679",153312538,1.955
"680",153312539,5.27
"681",153312540,2.02
"682",153312544,4.21
"683",153312545,5.01
"684",153312552,1.6
"685",153312553,8.79
"686",153312563,1.09
"687",153312565,6.18
"688",153312566,9.29
"689",153312567,9.125
"690",153312569,2.92
"691",153312570,6.325
"692",153312571,7.91
"693",153312572,5.92
"694",153312573,4.535
"695",153312574,5.39
"696",153312575,1.55
"697",153312576,7.13
"698",153312577,7.505
"699",153312578,5.22
"700",153312579,2.78
"701",153312580,8.44
"702",153312581,5.27
"703",153312582,3.11
"704",153312583,3.19
"705",153312584,2.495
"706",153312585,6.96
"707",153312587,6.89
"708",153319428,0
"709",153319564,1.62
"710",153319565,0.43
"711",153319566,6
"712",153319567,7.18
"713",153319942,4.14
"714",153319943,8.71
"715",153319944,9.35
"716",153319947,2.83
"717",153319953,6.95
"718",153319954,5.865
"719",153319955,2.41
"720",153319958,4.145
"721",153319961,3.93
"722",153319965,7.62
"723",153319966,4.54
"724",153320001,0.705
"725",153320002,0.635
"726",153320003,0.6
"727",153320004,3.66
"728",153320005,2.42
"729",153320008,0.51
"730",153320119,4.17
"731",153320124,8.31
"732",153320126,1.3
"733",153320135,4.9
"734",153320136,0.42
"735",153320137,0.03
"736",153320140,1.13
"737",153320147,0.22
"738",153320148,1.31
"739",153320149,2.92
"740",153320151,0.99
"741",153320155,3.82
"742",153320156,0.52
"743",153320190,4.235
"744",153320191,0.87
"745",153320192,2.5
"746",153320193,1.96
"747",153320197,2.48
"748",153327768,2.625
"749",153327779,4.72
"750",153327780,3.85
"751",153327783,1.45
"752",153327784,6.56
"753",153327785,6.03
"754",153327794,0.805
"755",153327801,1.85
"756",153327805,1.925
"757",153327808,1.535
"758",153327811,0.73
"759",153327813,0.795
"760",153327814,2.875
"761",153327816,2.71
"762",153327818,4.3
"763",153327940,6.01
"764",153327941,5.32
"765",153327945,4.69
"766",153328022,0
"767",153328030,7.47
"768",153328034,9.415
"769",153328037,9.32
"770",153328040,9.25
"771",153328043,7.895
"772",153328044,6.105
"773",153328045,4.74
"774",153328046,3.68
"775",153328048,9.445
"776",153328051,9.36
"777",153328053,3.65
"778",153328078,5.03
"779",153328081,6.6
"780",153328082,5.99
"781",153328083,3.42
"782",153328084,6.57
"783",153328087,7.66
"784",153328098,5.1675
"785",153328100,4.57
"786",153328101,6.99
"787",153328102,8.9
"788",153328103,4.84
"789",153328104,5.58
"790",153328105,6.025
"791",153328106,8.26
"792",153328107,5.45
"793",153328108,5.495
"794",153328109,5.92
"795",153328124,6.79
"796",153328126,7.59
"797",153328131,6.94
"798",153328133,7.18
"799",153328134,6.28
"800",153328137,9.225
"801",153328138,5.53
"802",153328139,6.12
"803",153328140,8.585
"804",153328141,6.43
"805",153328143,1.81
"806",153328144,8.31
"807",153328145,2.03
"808",153328146,7.45
"809",153328153,8.48
"810",153328154,8.28
"811",153328155,7.49
"812",153328156,1.14
"813",153328157,8.87
"814",153328159,11.68
"815",153328161,7.67
"816",153328163,7.66
"817",153328164,7.14
"818",153328165,5.98
"819",153328167,7.68
"820",153328170,8.23
"821",153328171,9.78
"822",153328183,7.925
"823",153328184,8.685
"824",153328186,5.98
"825",153328188,2.935
"826",153328191,2.735
"827",153328192,3.23
"828",153328203,6.93
"829",153328204,5.34
"830",153328215,8.68
"831",153328217,6.755
"832",153328219,6.59
"833",153328223,6.79
"834",153328224,6.59
"835",153328226,6.76
"836",153328227,7.21
"837",153328267,3.45
"838",153328280,2.67
