"","edgeuid","total_trips"
"355",153311521,5
"356",153311523,5
"357",153311524,5
"358",153311527,5
"359",153311545,10
"360",153311546,75
"361",153311549,75
"362",153311554,80
"363",153311560,80
"364",153311564,135
"365",153311566,60
"366",153311580,60
"367",153311582,60
"368",153311584,60
"369",153311588,60
"370",153311590,5
"371",153311602,15
"372",153311604,25
"373",153311605,20
"374",153311607,15
"375",153311611,10
"376",153311618,10
"377",153311620,10
"378",153311626,10
"379",153311628,10
"380",153311633,25
"381",153311636,10
"382",153311638,25
"383",153311639,20
"384",153311640,25
"385",153311646,15
"386",153311650,15
"387",153311671,5
"388",153311672,30
"389",153311677,5
"390",153311681,5
"391",153311692,10
"392",153311693,10
"393",153311694,10
"394",153311700,10
"395",153311705,10
"396",153311706,10
"397",153311709,10
"398",153311712,10
"399",153311713,10
"400",153311714,10
"401",153311715,10
"402",153311717,10
"403",153311719,10
"404",153311720,5
"405",153311722,25
"406",153311723,30
"407",153311724,35
"408",153311725,30
"409",153311726,90
"410",153311728,85
"411",153311729,70
"412",153311731,175
"413",153311732,65
"414",153311733,70
"415",153311734,70
"416",153311736,40
"417",153311737,15
"418",153311738,85
"419",153311739,40
"420",153311741,135
"421",153311742,85
"422",153311743,85
"423",153311745,10
"424",153311746,5
"425",153311747,85
"426",153311750,35
"427",153311751,40
"428",153311752,40
"429",153311753,10
"430",153311754,10
"431",153311759,35
"432",153311762,35
"433",153311765,35
"434",153311767,35
"435",153311769,5
"436",153311786,5
"437",153311803,5
"438",153311807,5
"439",153311808,5
"440",153311812,5
"441",153311814,5
"442",153311816,5
"443",153311817,5
"444",153311819,85
"445",153311825,5
"446",153311826,5
"447",153311827,10
"448",153311828,5
"449",153311830,25
"450",153311831,5
"451",153311834,10
"452",153311836,20
"453",153311837,30
"454",153311839,20
"455",153311841,20
"456",153311843,20
"457",153311844,15
"458",153311845,15
"459",153311861,5
"460",153311862,5
"461",153311864,80
"462",153311866,80
"463",153311867,80
"464",153311871,5
"465",153311872,5
"466",153311873,80
"467",153311874,5
"468",153311875,140
"469",153311876,5
"470",153311878,5
"471",153311879,5
"472",153311880,85
"473",153311881,5
"474",153311882,5
"475",153311884,85
"476",153311885,5
"477",153311887,5
"478",153311890,10
"479",153311894,5
"480",153311895,10
"481",153311896,5
"482",153311897,5
"483",153311898,5
"484",153311904,20
"485",153311905,20
"486",153311906,5
"487",153311907,5
"488",153311908,5
"489",153311910,40
"490",153311911,20
"491",153311912,5
"492",153311913,5
"493",153311919,95
"494",153311920,5
"495",153311926,5
"496",153311928,5
"497",153311929,5
"498",153311934,95
"499",153311935,95
"500",153311942,50
"501",153311943,50
"502",153311945,45
"503",153311951,45
"504",153311961,15
"505",153311962,25
"506",153311970,15
"507",153311975,15
"508",153311976,10
"509",153311977,10
"510",153311980,10
"511",153311982,5
"512",153311983,15
"513",153311985,5
"514",153311986,5
"515",153311988,15
"516",153311989,15
"517",153311990,15
"518",153311991,15
"519",153312003,5
"520",153312007,5
"521",153312010,5
"522",153312041,5
"523",153312042,5
"524",153312044,5
"525",153312046,15
"526",153312067,15
"527",153312071,15
"528",153312073,50
"529",153312075,20
"530",153312083,10
"531",153312087,5
"532",153312088,10
"533",153312090,5
"534",153312101,100
"535",153312102,20
"536",153312105,30
"537",153312106,45
"538",153312107,30
"539",153312108,10
"540",153312110,70
"541",153312112,10
"542",153312113,10
"543",153312114,10
"544",153312117,55
"545",153312119,5
"546",153312120,15
"547",153312123,5
"548",153312126,15
"549",153312127,15
"550",153312128,5
"551",153312134,5
"552",153312135,85
"553",153312137,5
"554",153312143,55
"555",153312144,55
"556",153312151,15
"557",153312152,15
"558",153312153,5
"559",153312154,5
"560",153312155,55
"561",153312157,20
"562",153312160,5
"563",153312163,50
"564",153312165,85
"565",153312166,55
"566",153312179,55
"567",153312180,55
"568",153312202,10
"569",153312203,5
"570",153312205,5
"571",153312207,5
"572",153312208,5
"573",153312210,5
"574",153312211,5
"575",153312222,5
"576",153312224,5
"577",153312226,5
"578",153312228,5
"579",153312231,5
"580",153312232,10
"581",153312234,5
"582",153312237,10
"583",153312238,5
"584",153312241,5
"585",153312243,5
"586",153312264,10
"587",153312265,15
"588",153312266,20
"589",153312267,60
"590",153312268,55
"591",153312269,10
"592",153312270,60
"593",153312271,45
"594",153312276,60
"595",153312278,60
"596",153312281,50
"597",153312284,85
"598",153312290,90
"599",153312292,85
"600",153312293,325
"601",153312298,10
"602",153312307,90
"603",153312308,90
"604",153312309,95
"605",153312310,90
"606",153312313,90
"607",153312315,10
"608",153312316,90
"609",153312326,55
"610",153312327,45
"611",153312334,55
"612",153312340,50
"613",153312341,55
"614",153312348,55
"615",153312353,5
"616",153312356,5
"617",153312357,10
"618",153312359,5
"619",153312381,55
"620",153312382,85
"621",153312387,85
"622",153312389,55
"623",153312391,55
"624",153312399,55
"625",153312401,55
"626",153312409,45
"627",153312427,5
"628",153312431,10
"629",153312434,10
"630",153312440,5
"631",153312444,5
"632",153312445,5
"633",153312447,10
"634",153312448,5
"635",153312451,5
"636",153312452,10
"637",153312457,5
"638",153312458,5
"639",153312461,5
"640",153312463,5
"641",153312464,5
"642",153312465,5
"643",153312468,10
"644",153312470,15
"645",153312471,10
"646",153312472,5
"647",153312473,5
"648",153312474,15
"649",153312475,25
"650",153312478,10
"651",153312479,10
"652",153312480,10
"653",153312481,15
"654",153312484,10
"655",153312487,10
"656",153312488,10
"657",153312489,10
"658",153312491,55
"659",153312492,5
"660",153312493,15
"661",153312495,5
"662",153312496,5
"663",153312503,15
"664",153312515,5
"665",153312516,10
"666",153312517,10
"667",153312518,10
"668",153312519,10
"669",153312520,10
"670",153312524,10
"671",153312526,10
"672",153312527,20
"673",153312528,5
"674",153312529,15
"675",153312533,20
"676",153312534,15
"677",153312535,5
"678",153312537,10
"679",153312538,10
"680",153312539,10
"681",153312540,20
"682",153312544,35
"683",153312545,5
"684",153312552,10
