OID_;edgeUID;osmId;km
0;153751514;146843913;0,021672851366700
1;153752751;228791036;0,109951558052000
2;153765016;144594364;0,270031323393000
3;153769129;813267461;0,074032780509900
4;153773853;921460887;0,014495160724300
5;153781621;38485309;0,023057762660100
6;153782366;744395688;0,035071249771900
7;153784079;240388516;0,058674132434500
8;153784662;17730839;0,020057480535000
9;153789416;912824058;0,063337904339200
10;153791291;750111514;0,076432474751800
11;153791637;317642802;0,023540667436700
12;153793243;27378523;0,043984627895500
13;153793665;316788963;0,046297640258200
14;153797223;30524628;0,036611422279900
15;153797400;406766147;0,056092512504300
16;153808533;64147930;0,086675412880500
17;153815870;28049322;0,014345814629800
18;153819469;308083291;0,019483622991600
19;153820316;680773483;0,271219734156000
20;153820742;69022455;0,007682555467970
21;153822810;948823780;0,041890658379000
22;153824033;1013564811;0,186087538374000
23;153824669;244540284;0,244018646311000
24;153826211;961371372;0,011161726108000
25;153829621;117572404;0,359682740422000
26;153830126;967596795;0,323993658573000
27;153830861;133170386;0,073699780083800
28;153832325;635209300;0,009755283442120
29;153832955;797569350;0,008765117725140
30;153833029;252128899;0,008515982651610
31;157452884;144132639;0,026972972768600
32;157452997;132074543;0,006823770681030
33;157493407;424824689;0,038104205556200
34;157494682;299034068;0,014407195656700
35;157496481;201500373;0,009371976753550
36;157497010;132707685;0,095660754300400
37;157500932;65620879;0,478797981933000
38;157502678;27254431;0,032092983507300
39;157523212;762926108;0,011639336385100
40;153765153;305826954;0,339128015425000
41;153777859;875227038;0,019612887367200
42;153789803;897977993;0,004884252379670
43;153792217;785460715;0,057365917736300
44;153792329;785460742;0,202654568879000
45;153793793;122094221;0,006477261077110
46;153802239;317594032;0,101786308856000
47;153803955;69735484;0,036992406718500
48;153807045;81061341;0,004609729565080
49;153808009;190697525;0,018424697535400
50;153808357;806876164;0,032148060230300
51;153809017;156051140;0,003440966343060
52;153810852;112691538;0,004609558014210
53;153823025;12892801;0,997077650604000
54;153827024;988956212;0,021161244018300
55;153827827;30524146;0,014511844930500
56;153828843;69024934;0,058593213484700
57;153830491;697926870;0,999521369928000
58;153832655;631050908;0,024998367313600
59;157492022;139385302;0,113664797443000
60;157493030;115274721;0,044220200109500
61;157522118;549765228;0,023792234250800
62;153749555;147125602;0,025706555044500
63;153750036;546010403;0,075165080311800
64;153751374;150660678;0,014240289404000
65;153755742;201132010;0,016642261254800
66;153775103;731200767;0,194127110545000
67;153775200;236676535;0,018494638764400
68;153780523;168712207;0,031604762396100
69;153782520;936743837;0,004534449415670
70;153783331;210851195;0,001712161346160
71;153784818;17728334;0,015275480255100
72;153786562;853019422;0,004672162368590
73;153787215;13968413;0,157289958290000
74;153788077;863796379;0,005728214766310
75;153802810;952344455;0,002571480586340
76;153804927;772687844;0,010930083991300
77;153805095;136338391;0,058442906810500
78;153811668;228095983;0,029260594983000
79;153812811;30523286;0,045344552819000
80;153813089;489505632;0,065311160180300
81;153814051;240572883;0,100444987848000
82;153817342;25521629;0,073765009298700
83;153818056;158260219;0,030943825553900
84;153818066;69961664;0,031311127463900
85;153818941;267116254;0,163117991275000
86;153820438;529623382;0,040753646656500
87;153822107;942722691;0,042643986020000
88;153823080;964013635;0,013315283804800
89;153823142;964390340;0,070262058719400
90;153824464;964797369;0,057598910919000
91;153828299;59409618;0,013780996758600
92;153828575;993275299;0,018761213882600
93;153830031;965459541;0,179660440633000
94;153830752;65719580;0,011074520262700
95;157490401;957595294;0,028117478884900
96;157495825;883154549;0,011499248081600
97;157496024;69489915;0,017871082822900
98;157503573;62117027;0,005962318245680
99;157520700;549586958;0,029457742766700
100;153748841;394895022;0,072854229885700
101;153751030;625074833;0,009448352541050
102;153754016;106574693;0,018065006193000
103;153757054;201137914;0,093329738443900
104;153772696;39725511;0,262870256970000
105;153776060;215093149;0,010389996266000
106;153777910;863554713;0,019748672856000
107;153782907;938345324;0,050431147735900
108;153783020;939013901;0,003393821889700
109;153783731;193078194;0,009857826179360
110;153790621;951829050;0,023246702607400
111;153791606;201947406;0,020361075502300
112;153792709;166841928;0,242954496233000
113;153792932;166651674;0,023403679819400
114;153795774;155778941;0,030095441019800
115;153796147;104978828;0,021820827365400
116;153796916;30524633;0,072542264690400
117;153797227;1015612323;0,073448265327200
118;153800623;107727934;0,008460513881850
119;153802890;187356234;0,159028730221000
120;153807305;217188563;0,018530581998500
121;153821455;886506319;0,044628092498500
122;153822789;436394042;0,077126415356000
123;153823550;957981160;0,010832987024800
124;153826736;965216128;0,007162827917160
125;153828811;30524794;0,033821557765200
126;153831943;550489122;0,024722611126200
127;157487820;914239449;0,023153689483300
128;157495022;228942870;0,044216849098000
129;157495794;148060483;0,006720476493380
130;157496539;28482045;0,017994842620300
131;153749653;147125590;0,017620805072300
132;153755633;201136185;0,003264553238380
133;153762888;145476037;0,274932381118000
134;153764998;37412656;0,066009559123100
135;153775300;168867332;0,022791539428800
136;153775757;210851195;0,005088371197320
137;153776869;731200768;0,268402953418000
138;153777739;218523878;0,148363653516000
139;153778727;20812710;0,144950694386000
140;153781615;226959305;0,014779779453400
141;153782702;884405744;0,034038744614600
142;153789023;938402097;0,326346357051000
143;153791692;202262763;0,028443243910800
144;153795688;262115305;0,219741256693000
145;153806222;265230861;0,025047379366000
146;153808115;49690435;0,003912436449580
147;153808538;23253402;0,007270017381790
148;153809059;263086052;0,030860278766900
149;153809097;166143244;0,016999254712200
150;153809141;156187765;0,240576068997000
151;153810459;112685774;0,022705296053400
152;153816267;127079294;0,018123364350000
153;153817573;731126476;0,155709254893000
154;153817820;192700898;0,193034653831000
155;153819576;109384236;0,014639683500900
156;153822042;943597208;0,100287729392000
157;153822469;789247743;0,316074853795000
158;153822903;914653381;0,015606597517300
159;153823611;952424980;0,003737002834120
160;153824320;962409557;0,008907156471870
161;153825429;966324902;0,008883525797280
162;153827154;27261023;0,242359416593000
163;153889386;787617205;0,007604140657570
164;153889620;786271694;0,072099379957100
165;157449258;50334947;0,007837138422810
166;157449693;71050669;0,018425452744800
167;157450692;207599575;0,011546260652800
168;157487888;881831418;0,015227727405800
169;157488640;162589889;0,221038311926000
170;157491698;884754808;0,006654563737220
171;157502501;33040879;0,007160702307770
