"","edgeuid","month","total_trips"
"266",153310947,"June",5
"267",153310948,"June",5
"268",153310949,"June",5
"269",153310950,"September",5
"270",153310955,"June",5
"271",153310956,"June",25
"272",153310957,"June",15
"273",153310958,"June",30
"274",153310959,"June",30
"275",153310960,"June",30
"276",153310962,"June",25
"277",153310966,"June",25
"278",153310966,"September",50
"279",153310967,"June",25
"280",153310967,"September",50
"281",153310971,"June",25
"282",153310973,"June",40
"283",153310974,"June",10
"284",153310985,"June",5
"285",153310988,"June",5
"286",153310989,"June",30
"287",153310991,"June",10
"288",153310992,"June",10
"289",153310993,"June",40
"290",153310994,"June",5
"291",153310995,"June",30
"292",153310995,"September",50
"293",153311002,"June",25
"294",153311003,"June",25
"295",153311004,"June",25
"296",153311019,"June",25
"297",153311024,"June",25
"298",153311028,"June",25
"299",153311031,"June",25
"300",153311035,"June",10
"301",153311049,"June",25
"302",153311055,"June",25
"303",153311056,"June",5
"304",153311120,"September",5
"305",153311201,"June",5
"306",153311208,"June",10
"307",153311214,"June",5
"308",153311215,"June",45
"309",153311215,"September",35
"310",153311216,"June",30
"311",153311221,"June",20
"312",153311240,"June",20
"313",153311253,"June",20
"314",153311254,"June",20
"315",153311274,"June",5
"316",153311275,"June",30
"317",153311276,"June",75
"318",153311276,"September",45
"319",153311292,"June",30
"320",153311293,"June",20
"321",153311300,"June",30
"322",153311301,"June",100
"323",153311329,"June",70
"324",153311330,"June",60
"325",153311331,"June",5
"326",153311332,"June",5
"327",153311352,"June",5
"328",153311353,"June",35
"329",153311354,"June",5
"330",153311354,"September",5
"331",153311358,"June",35
"332",153311371,"June",70
"333",153311372,"June",60
"334",153311373,"June",35
"335",153311374,"June",35
"336",153311378,"June",35
"337",153311378,"September",15
"338",153311379,"June",35
"339",153311381,"June",20
"340",153311382,"June",55
"341",153311383,"June",5
"342",153311387,"June",75
"343",153311389,"June",75
"344",153311391,"June",15
"345",153311399,"June",75
"346",153311402,"June",75
"347",153311421,"June",5
"348",153311422,"June",5
"349",153311424,"June",5
"350",153311432,"June",5
"351",153311433,"June",5
"352",153311437,"June",5
"353",153311461,"June",15
"354",153311462,"June",15
"355",153311462,"September",10
"356",153311465,"June",15
"357",153311466,"June",15
"358",153311467,"June",15
"359",153311469,"June",15
"360",153311470,"June",5
"361",153311471,"June",10
"362",153311474,"June",10
"363",153311476,"June",5
"364",153311481,"June",50
"365",153311482,"June",30
"366",153311483,"June",45
"367",153311484,"June",45
"368",153311485,"June",65
"369",153311485,"September",115
"370",153311486,"June",35
"371",153311487,"June",75
